GENEID,KD_1_1,KD_1_2,KD_2_1,KD_2_2,KD_2_3
9130002K18Rik,-0.155328306,0.067536682,0.161346771,0.129242236,0.314417564
9130019O22Rik,-0.454398686,0.027307987,-0.296940664,-0.448345634,-0.193297688
9130023H24Rik,-0.069788448,-0.100181618,-0.224216191,0.021089822,0.057724606
9130401M01Rik,-0.065236133,-0.227195107,-0.194241542,-0.256432683,-0.550764295
9330121K16Rik,0.040511238,0.048759076,0.245083286,0.477821763,0.312814835
9330159F19Rik,-0.055439259,-0.027274456,0.119240655,0.168142357,0.140436857
9330162G02Rik,0.128588065,0.242635726,0.478625176,0.446179841,0.702473481
9430015G10Rik,-0.100407931,-0.016362634,-0.078029275,0.035169029,-0.047574663
9430034N14Rik,0.239129622,-0.453587925,0.075468448,-0.190959223,0.412807011
9430038I01Rik,0.140416967,-0.233951195,-0.007329853,-0.181558749,0.228755115
9430053O09Rik,0.297559008,0.33403957,0.484117876,0.184916038,0.612042566
9430062P05Rik,-0.004676991,-0.385738384,0.100494809,-0.159200511,0.144660613
9430081H08Rik,0.32214923,-0.215715876,-0.084734896,-0.062345202,0.020999838
9430087J23Rik,0.24645854,-0.205698662,0.15667912,0.229733363,0.429992625
9430092D12Rik,0.104846764,0.091672492,0.250057747,0.252733916,0.437878691
9530003O04Rik,0.468112214,-0.638557973,0.319638752,0.179679952,0.240204815
9530056E24Rik,0.134780283,-0.238607513,-0.056133552,-0.17069759,0.668454687
9530068E07Rik,0.005169689,0.150829671,0.024213624,-0.033907517,-0.156331321
9530085L11Rik,-0.172319625,0.303545493,0.139191282,0.161407797,0.196414077
9630010A21Rik,0.51918788,0.134306226,0.231830583,0.536389652,0.48402817
9630050E16Rik,0.167084374,-0.006967994,0.332834086,0.354561401,0.706449547
9930017N22Rik,0.123061174,0.117000172,0.379232418,0.180891879,0.595054177
9930021J03Rik,0.110062092,0.010018307,0.260620889,0.16619346,0.293295686
9930024M15Rik,0.337410837,-0.390259887,0.013500568,0.250854423,0.303799652
9930111J21Rik2,0.138842013,-0.113405872,0.234609841,0.044271439,0.39887982
a,-0.249519976,-0.476154083,-0.227207141,-0.451562248,-0.415462836
A130010J15Rik,-0.042412422,-0.020992064,0.12764631,0.039939809,-0.069752618
A130012E19Rik,0.424205341,-0.129627466,0.065944708,0.411682251,0.623000444
A130050O07Rik,-0.102163711,-0.009219296,0.419164213,0.223144692,0.495742954
A130071D04Rik,0.12499165,-0.94680977,0.012501419,-0.505894753,0.530766599
A1cf,0.257991132,0.307837904,0.128826449,0.008259106,0.457134494
A230081H15Rik,0.132945388,-0.15985674,0.357780548,0.3643369,0.730115422
A230085B16Rik,-0.131407529,0.404886891,-0.049624573,0.042167403,0.219689584
A230103L15Rik,0.153817978,0.045806008,0.439333032,0.386573238,0.705616996
A2m,-0.360712683,-0.461078896,-0.527393412,-0.231532362,-0.317701963
A2ml1,0.288758712,-0.270025665,0.113639476,-0.285980115,0.922439979
A330074H02Rik,0.254619826,-0.343882397,-0.10780683,0.156168062,0.403652012
A430005L14Rik,0.119924198,0.067629862,-0.203683571,-0.095700596,-0.329326018
A430019L02Rik,0.008500274,0.014890589,0.199847458,0.126679366,0.560148053
A430027C01Rik,0.170660549,0.242743745,0.175634034,0.469203203,0.990635575
A430028G04Rik,0.238392333,0.005383308,0.128551161,0.282558274,0.505653161
A430033K04Rik,0.038043248,0.071441209,0.177770864,0.163217258,-0.051245721
A430103D13Rik,0.414468375,-0.052251583,0.334470765,0.219539118,0.029608187
A430110C17Rik,-0.02067398,-0.320777963,0.148758944,-0.168361983,0.479418392
A530058O07Rik,-0.177662362,-0.485891586,-0.022407665,-0.026230567,-0.228310518
A530064N14Rik,0.029089905,0.028304448,0.123307176,0.497283309,0.484312706
A530083M17Rik,-0.126918317,-0.23994461,0.381853601,0.338877798,0.468244962
A630036G19Rik,0.196848387,-0.327343654,0.279801226,0.214140441,0.419486009
A630089N07Rik,0.062880536,0.005589319,0.26825361,0.246012989,0.562106081
A730089K16Rik,0.056546932,0.014622727,0.188056336,-0.166437605,0.373125247
A730091E23Rik,-0.028163324,-0.05361522,0.018836512,-0.061205048,0.438060621
A830018L16Rik,0.002147651,0.092307731,0.069736247,0.148254319,0.159100003
A830073O21Rik,-0.168734367,-0.407146508,0.017058588,-0.214881702,-0.348012396
A930004J17Rik,0.263640775,-0.0823934,0.219627358,0.412621851,0.32501805
A930005N03Rik,0.140666001,-0.071129912,0.039312456,0.163005811,0.041651201
A930007A09Rik,-0.190796904,0.159821705,0.16683766,0.218261883,0.24083463
A930036I15Rik,-0.116041839,-0.115516693,0.143558309,0.037294749,0.411234986
A930040O22Rik,0.419672783,-0.134222216,0.20342449,-0.084987746,0.179664761
AA474408,-0.505466016,-0.450635253,0.072884625,-0.2338462,-0.34550128
AA914427,-0.151966489,-0.292725103,-0.252302124,-0.00627743,-0.168868422
Aaas,0.005993836,0.046037076,-0.036564894,0.02465996,0.177931391
Aacs,-0.294246679,0.238224291,-0.300925151,-0.280471449,-0.496119309
Aagab,-0.022965014,0.1191253,-0.097209408,-0.030115514,-0.07143936
Aak1,-0.104462757,0.044419385,0.033517704,0.114998288,0.002540562
Aamdc,-0.059211547,0.075015712,-0.096155558,-0.167813123,-0.202876484
Aamp,-0.266436355,0.074237563,-0.131532298,-0.280039745,-0.418540918
Aar2,0.009996266,-0.15998564,-0.212048126,0.015433621,-0.006080106
Aard,0.469209756,-0.209882369,0.02691877,-0.087977173,-0.521217292
Aars1,-0.215649498,0.041844063,-0.182917098,-0.264377757,-0.311318436
Aars2,0.026425539,-0.777164998,-0.12727475,-0.158564429,-0.365072655
Aarsd1,-0.16542823,0.161139371,-0.216458256,-0.321867168,-0.457667128
Aasdh,-0.010459912,-0.17470726,0.045444782,-0.269520056,0.080062703
Aasdhppt,0.369629176,0.126585212,-0.016644038,0.181950485,-0.012449405
Aass,-0.403149721,0.029298801,-0.224678926,-0.13063787,0.281687988
Aatf,0.151844881,0.078801439,-0.078072219,-0.128772661,-0.254787457
Aatk,-0.198718268,-0.266739012,-0.215009915,-0.17647337,-0.404796524
Abat,-0.117279493,0.142213911,-0.046982593,-0.014814867,-0.113201259
Abca1,-0.175787718,0.361753761,0.007178263,0.067046944,-0.1045415
Abca12,-0.037613627,-0.309524645,0.078460005,-0.011157882,0.399655975
Abca13,-0.344891744,-0.364454751,-0.364273003,-0.477525542,1.192831781
Abca14,0.294295977,-0.35117305,0.163221462,-0.228946678,0.584515774
Abca15,-0.284090167,-0.408848444,0.077980912,-0.217341241,0.548844999
Abca16,-0.037511435,-0.735665713,-0.183003101,-0.404148039,0.765615171
Abca17,0.026816376,0.174814732,0.086162065,0.061817522,0.508501022
Abca2,-0.433396618,0.00704898,-0.139535275,0.000689652,-0.065186544
Abca3,-0.239842153,-0.319449253,-0.137584587,-0.138200581,-0.257141235
Abca4,-0.151602522,-0.902999506,-0.110148481,-0.252298011,0.290944384
Abca5,0.315572623,0.227719281,0.248323097,0.247734983,0.318265128
Abca6,-0.032437581,-0.165739328,-0.221595192,-0.422154683,-0.007329162
Abca7,-0.141832225,-0.143558404,-0.000925013,0.078836439,0.045530636
Abca8a,0.133405738,-0.146405377,0.213582429,0.075125441,0.415775493
Abca8b,0.175896287,0.259845442,0.113231336,0.182344345,0.295503822
Abca9,0.235221583,-0.386498596,0.067822893,-0.099426834,0.540676434
Abcb10,-0.233513565,0.148037035,-0.107533911,-0.148831212,-0.12186542
Abcb11,-0.121485063,-0.393303134,-0.015045461,-0.167795489,0.380409503
Abcb1a,0.417910684,-0.677825248,-0.017348112,-0.220081757,0.665462824
Abcb1b,-0.210219081,-0.141332933,0.098713308,0.142620545,0.392254169
Abcb4,0.166858336,-0.188499854,0.170356869,-0.121471686,0.258083577
Abcb5,-0.300083917,-0.044460833,-0.126641055,-0.092583264,0.182669305
Abcb6,-0.082130961,-0.073217612,-0.066325312,-0.185217586,-0.280165882
Abcb7,0.091020145,0.036932406,0.054342602,0.165768816,0.111828429
Abcb8,0.221401085,-0.004966492,-0.281319825,-0.044490454,-0.099186306
Abcb9,-0.249795857,-0.350538121,-0.017489102,-0.228540566,-0.406659696
Abcc1,-0.149826001,-0.075125332,0.17220504,0.090450061,0.150584071
Abcc10,-0.449524933,-0.401131626,-0.00254494,0.003885095,-0.236565656
Abcc12,-0.038775015,-0.379143157,-0.095902171,0.012390563,0.309280944
Abcc2,0.18962635,-0.310093966,0.167849214,-0.104203511,0.60158241
Abcc3,0.060734652,0.019822302,0.104493998,-0.190118066,0.472348996
Abcc4,0.043454069,0.052465567,-0.101534391,-0.340431886,-0.013201086
Abcc5,0.038026398,0.109190172,0.097178887,0.233400173,0.296349616
Abcc8,-0.236484969,-0.780221131,-0.252468395,-0.358289402,-0.274869064
Abcc9,0.277672708,-0.347157661,-0.101394832,-0.090772913,0.197768382
Abcd1,-0.262044241,-0.230861818,-0.337881149,-0.034060419,0.092687852
Abcd2,0.159733639,0.142906299,0.032351964,0.03928518,0.176488651
Abcd3,-0.053012868,-0.080526024,-0.07612576,-0.113752207,-0.259046528
Abcd4,0.08341161,0.151045491,-0.218625868,0.072825764,0.170252251
Abce1,0.1784803,0.138239939,0.047901113,0.020968363,0.022857956
Abcf1,-0.083953779,-0.11175513,-0.065901759,-0.313375249,-0.144216092
Abcf2,-0.181496851,0.13788083,-0.179921463,-0.194172236,-0.32799086
Abcf3,-0.058459595,0.111356499,-0.135712582,-0.166589883,-0.245601454
Abcg1,-0.238191097,-0.246191669,-0.103079388,-0.012296992,-0.201055531
Abcg2,-0.116906491,-0.090677803,-0.11856613,0.104704157,-0.038612901
Abcg3,0.365702586,-0.105513443,0.165375639,0.023903166,0.594410908
Abcg4,-0.050506553,0.05405536,0.00420312,0.059245304,-0.382467775
Abhd1,-0.141429783,0.06347978,0.040239495,-0.05171873,0.112816786
Abhd10,-0.0437642,0.175692205,0.097536804,0.18580408,-0.169601422
Abhd11,0.195580016,0.32095174,-0.261682147,-0.128152719,-0.244041892
Abhd12,-0.10808812,0.298544011,-0.069299567,-0.031745904,-0.224287697
Abhd13,-0.030686605,0.007350781,0.029848976,0.021129109,-0.01523754
Abhd14a,-0.046412537,0.078330217,-0.243745328,-0.307764882,-0.309599456
Abhd14b,-0.397925907,-0.293397231,-0.011170318,-0.012822949,-0.301640168
Abhd15,-0.315823018,-0.013944823,-0.095220358,-0.068457811,-0.28382576
Abhd16a,-0.207021916,-0.023136755,-0.358235048,-0.204484395,-0.396534846
Abhd17a,-0.221242502,-0.051608531,-0.317884731,-0.17240754,-0.380951489
Abhd17b,0.285299553,0.235894046,0.167883155,0.178119845,0.00755937
Abhd17c,-0.073567769,-0.088953212,-0.05376451,0.081661919,-0.040322713
Abhd18,0.15685679,-0.194372109,0.233531909,0.220370193,0.540473258
